V_gen,V_med1,V_med2
1.346,299.0,295.0
1.348,294.0,290.0
1.351,295.0,293.0
1.353,292.0,294.0
1.356,292.0,291.0
1.358,291.0,292.0
1.361,290.0,290.0
1.363,293.0,292.0
1.365,293.0,289.0
1.368,294.0,294.0
1.37,294.0,292.0
1.373,296.0,291.0
1.375,295.0,293.0
1.378,296.0,293.0
1.38,296.0,296.0
1.383,299.0,296.0
1.385,299.0,300.0
1.387,298.0,307.0
1.39,303.0,310.0
1.392,308.0,307.0
1.395,311.0,305.0
1.397,308.0,308.0
1.4,312.0,312.0
1.402,313.0,308.0
1.404,315.0,311.0
1.407,310.0,309.0
1.409,307.0,305.0
1.412,306.0,307.0
1.414,303.0,307.0
1.417,308.0,303.0
1.419,303.0,303.0
1.422,303.0,305.0
1.424,301.0,306.0
1.426,304.0,301.0
1.429,304.0,307.0
1.431,307.0,306.0
1.434,305.0,311.0
1.436,308.0,308.0
1.439,309.0,313.0
1.441,313.0,310.0
1.444,312.0,318.0
1.446,314.0,316.0
1.448,320.0,318.0
1.451,322.0,318.0
1.453,323.0,324.0
1.456,329.0,320.0
1.458,323.0,321.0
1.461,323.0,324.0
1.463,325.0,323.0
1.466,322.0,318.0
1.468,319.0,314.0
1.47,317.0,313.0
1.473,319.0,319.0
1.475,315.0,316.0
1.478,317.0,316.0
1.48,318.0,313.0
1.483,315.0,315.0
1.485,315.0,320.0
1.488,317.0,318.0
1.49,321.0,319.0
1.492,322.0,324.0
1.495,321.0,327.0
1.497,325.0,330.0
1.5,332.0,328.0
1.502,334.0,330.0
1.505,331.0,336.0
1.507,333.0,335.0
1.51,337.0,335.0
1.512,335.0,330.0
1.514,337.0,332.0
1.517,332.0,330.0
1.519,327.0,328.0
1.522,329.0,331.0
1.524,326.0,324.0
1.527,329.0,329.0
1.529,325.0,325.0
1.532,326.0,326.0
1.534,326.0,327.0
1.536,329.0,329.0
1.539,328.0,332.0
1.541,333.0,330.0
1.544,334.0,336.0
1.546,333.0,335.0
1.549,340.0,342.0
1.551,345.0,343.0
1.553,342.0,343.0
1.556,342.0,347.0
1.558,344.0,344.0
1.561,343.0,342.0
1.563,348.0,345.0
1.566,347.0,339.0
1.568,340.0,343.0
1.571,343.0,337.0
1.573,341.0,339.0
1.575,337.0,341.0
1.578,338.0,337.0
1.58,343.0,342.0
1.583,335.0,336.0
1.585,343.0,336.0
1.588,343.0,338.0
1.59,343.0,339.0
1.593,340.0,342.0
1.595,349.0,348.0
1.597,351.0,350.0
1.6,351.0,348.0
1.602,354.0,358.0
1.605,356.0,355.0
1.607,354.0,355.0
1.61,358.0,354.0
1.612,359.0,356.0
1.615,361.0,354.0
1.617,361.0,355.0
1.619,354.0,351.0
1.622,352.0,350.0
1.624,349.0,352.0
1.627,347.0,354.0
1.629,348.0,351.0
1.632,349.0,347.0
1.634,350.0,350.0
1.637,350.0,351.0
1.639,353.0,348.0
1.641,350.0,351.0
1.644,351.0,350.0
1.646,352.0,352.0
